statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
65.24,1588533834,3/5/2020,21:23:54,21,6,onos_node
91.29,1588533844,3/5/2020,21:24:4,21,6,onos_node
94.88,1588533855,3/5/2020,21:24:15,21,6,onos_node
88.5,1588533875,3/5/2020,21:24:35,21,6,onos_node
74.1,1588533885,3/5/2020,21:24:45,21,6,onos_node
67.75,1588533895,3/5/2020,21:24:55,21,6,onos_node
60.99,1588533926,3/5/2020,21:25:26,21,6,onos_node
+++onos_system_started0+++,1588534234,3/5/2020,21:30:34,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535016,3/5/2020,21:43:36,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535047,3/5/2020,21:44:7,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535075,3/5/2020,21:44:35,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535138,3/5/2020,21:45:38,21,6,+++onos_system_started0+++
58.45,1588535200,3/5/2020,21:46:40,21,6,onos_node
+++onos_system_started0+++,1592121165,14/6/2020,9:52:45,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121221,14/6/2020,9:53:41,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121307,14/6/2020,9:55:7,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121469,14/6/2020,9:57:49,9,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121621,14/6/2020,10:0:21,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121762,14/6/2020,10:2:42,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592121804,14/6/2020,10:3:24,10,6,+++onos_system_started0+++
+++onos_system_started0+++,1592122903,14/6/2020,10:21:43,10,6,+++onos_system_started0+++
61.5,1592123844,14/6/2020,10:37:24,10,6,onos_node
61.57,1592123844,14/6/2020,10:37:24,10,6,onos_node
63.11,1592125469,14/6/2020,11:4:29,11,6,onos_node
64.27,1592126622,14/6/2020,11:23:42,11,6,onos_node
64.71,1592126973,14/6/2020,11:29:33,11,6,onos_node
63.63,1592129030,14/6/2020,12:3:50,12,6,onos_node
+++onos_system_started0+++,1592138951,14/6/2020,14:49:11,14,6,+++onos_system_started0+++
